sheet,address,formula,functions,referenced_sheets
Budget vs Actual,C16,=SUM(C4:C15),SUM,
Budget vs Actual,E16,=SUM(E4:E15),SUM,
Budget vs Actual,H16,=SUM(E16-C16),SUM,
Budget vs Actual,E18,='2012 YTD Summary'!B22,,2012 YTD Summary
Budget vs Actual,F18,=SUM(E18-C18),SUM,
Budget vs Actual,E19,='2012 YTD Summary'!C22,,2012 YTD Summary
Budget vs Actual,E20,='2012 YTD Summary'!D22,,2012 YTD Summary
Budget vs Actual,E21,='2012 YTD Summary'!E22,,2012 YTD Summary
Budget vs Actual,E22,='2012 YTD Summary'!F22,,2012 YTD Summary
Budget vs Actual,E23,='2012 YTD Summary'!G22,,2012 YTD Summary
Budget vs Actual,E24,='2012 YTD Summary'!H22,,2012 YTD Summary
Budget vs Actual,E25,='2012 YTD Summary'!I22,,2012 YTD Summary
Budget vs Actual,E26,='2012 YTD Summary'!J22,,2012 YTD Summary
Budget vs Actual,E27,='2012 YTD Summary'!K22,,2012 YTD Summary
Budget vs Actual,E28,='2012 YTD Summary'!L22,,2012 YTD Summary
Budget vs Actual,E29,='2012 YTD Summary'!M22,,2012 YTD Summary
Budget vs Actual,C30,=SUM(C18:C29),SUM,
Budget vs Actual,E30,=SUM(E18:E29),SUM,
Budget vs Actual,H30,=SUM(E30-C30),SUM,
Budget vs Actual,C33,=SUM(C16+C30),SUM,
Budget vs Actual,E33,=SUM(E16+E30),SUM,
Budget vs Actual,H34,=SUM(E33-C33),SUM,
Budget vs Actual,C35,=SUM(E30/C30),SUM,
Staffing January,A2,=A21,,
Staffing January,B2,=SUM(B21),SUM,
Staffing January,E2,"=SUMIF(C21:AG21, "">0"")/COUNTIF(C21:AG21, "">0"")",COUNTIF;SUMIF,
Staffing January,H2,=SUM(E2-B2),SUM,
Staffing January,U2,='Daily Census IP 2012'!G43,,Daily Census IP 2012
Staffing January,X3,=SUM(C33:AG33),SUM,
Staffing January,AA3,=B83,,
Staffing January,AD3,=SUM(X3*AA3),SUM,
Staffing January,AB6,=SUM(AD3:AD5),SUM,
Staffing January,Z8,=SUM(C37:AG37),SUM,
Staffing January,AD8,=B58,,
Staffing January,AF8,='Daily Census IP 2012'!A46,,Daily Census IP 2012
Staffing January,Z9,=SUM(C36:AG36),SUM,
Staffing January,Z10,=SUM(Z11)*(AD10),SUM,
Staffing January,Z11,=B32,,
Staffing January,AF12,='Daily Census IP 2012'!A49,,Daily Census IP 2012
Staffing January,X13,=SUM(B40/B53),SUM,
Staffing January,Z13,=SUM(B45/B53),SUM,
Staffing January,AB13,=SUM(B44/B53),SUM,
Staffing January,AD13,=SUM(B46:B52)/SUM(B53),SUM,
Staffing January,Y14,=B44,,
Staffing January,Z14,=SUM(Y14*AF12),SUM,
Staffing January,AB14,='2012 YTD Summary'!O13,,2012 YTD Summary
Staffing January,AE14,='2012 YTD Summary'!O33,,2012 YTD Summary
Staffing January,A17,=G18,,
Staffing January,G17,=M18,,
Staffing January,G18,='Daily Census IP 2012'!AH5,,Daily Census IP 2012
Staffing January,M18,='Daily Census IP 2012'!AI4,,Daily Census IP 2012
Staffing January,O18,='Daily Census IP 2012'!A2,,Daily Census IP 2012
Staffing January,Z18,=G18,,
Staffing January,AF18,=M18,,
Staffing January,B19,=U2,,
Staffing January,C19,='Daily Census IP 2012'!B4,,Daily Census IP 2012
Staffing January,D19,='Daily Census IP 2012'!C4,,Daily Census IP 2012
Staffing January,E19,='Daily Census IP 2012'!D4,,Daily Census IP 2012
Staffing January,F19,='Daily Census IP 2012'!E4,,Daily Census IP 2012
Staffing January,G19,='Daily Census IP 2012'!F4,,Daily Census IP 2012
Staffing January,H19,='Daily Census IP 2012'!G4,,Daily Census IP 2012
