consumer_sheet,consumer_cell,referenced_sheet,referenced_range,resolution
2012 YTD Summary,J31,Staffing September,AD4,internal
2012 YTD Summary,K31,Staffing October,AD4,internal
2012 YTD Summary,L31,Staffing November,AD4,internal
2012 YTD Summary,M31,Staffing December,AD4,internal
2012 YTD Summary,B32,Staffing January,AD5,internal
2012 YTD Summary,C32,Staffing February,AD5,internal
2012 YTD Summary,D32,Staffing March,AD5,internal
2012 YTD Summary,E32,Staffing April,AD5,internal
2012 YTD Summary,F32,Staffing May,AD5,internal
2012 YTD Summary,G32,Staffing June,AD5,internal
2012 YTD Summary,H32,Staffing July,AD5,internal
2012 YTD Summary,I32,Staffing August,AD5,internal
2012 YTD Summary,J32,Staffing September,AD5,internal
2012 YTD Summary,K32,Staffing October,AD5,internal
2012 YTD Summary,L32,Staffing November,AD5,internal
2012 YTD Summary,M32,Staffing December,AD5,internal
2012 YTD Summary,B36,Staffing January,B32,internal
2012 YTD Summary,C36,Staffing February,B32,internal
2012 YTD Summary,D36,Staffing March,B32,internal
2012 YTD Summary,E36,Staffing April,B32,internal
2012 YTD Summary,F36,Staffing May,B31,internal
2012 YTD Summary,G36,Staffing June,B31,internal
2012 YTD Summary,H36,Staffing July,B31,internal
2012 YTD Summary,I36,Staffing August,B33,internal
2012 YTD Summary,J36,Staffing September,B33,internal
2012 YTD Summary,K36,Staffing October,B33,internal
2012 YTD Summary,L36,Staffing November,B33,internal
2012 YTD Summary,M36,Staffing December,B33,internal
2012 YTD Summary,B37,Staffing January,B33,internal
2012 YTD Summary,C37,Staffing February,B33,internal
2012 YTD Summary,D37,Staffing March,B33,internal
2012 YTD Summary,E37,Staffing April,B33,internal
2012 YTD Summary,F37,Staffing May,B32,internal
2012 YTD Summary,G37,Staffing June,B32,internal
2012 YTD Summary,H37,Staffing July,B32,internal
2012 YTD Summary,I37,Staffing August,B34,internal
2012 YTD Summary,J37,Staffing September,B34,internal
2012 YTD Summary,K37,Staffing October,B34,internal
2012 YTD Summary,L37,Staffing November,B34,internal
2012 YTD Summary,M37,Staffing December,B34,internal
2012 YTD Summary,B38,Staffing January,B34,internal
2012 YTD Summary,C38,Staffing February,B34,internal
2012 YTD Summary,D38,Staffing March,B34,internal
2012 YTD Summary,E38,Staffing April,B34,internal
2012 YTD Summary,F38,Staffing May,B33,internal
2012 YTD Summary,G38,Staffing June,B33,internal
2012 YTD Summary,H38,Staffing July,B33,internal
2012 YTD Summary,I38,Staffing August,B35,internal
2012 YTD Summary,J38,Staffing September,B35,internal
2012 YTD Summary,K38,Staffing October,B35,internal
2012 YTD Summary,L38,Staffing November,B35,internal
2012 YTD Summary,M38,Staffing December,B35,internal
2012 YTD Summary,B39,Staffing January,B35,internal
2012 YTD Summary,C39,Staffing February,B35,internal
2012 YTD Summary,D39,Staffing March,B35,internal
2012 YTD Summary,E39,Staffing April,B35,internal
2012 YTD Summary,F39,Staffing May,B34,internal
2012 YTD Summary,G39,Staffing June,B34,internal
2012 YTD Summary,H39,Staffing July,B34,internal
2012 YTD Summary,I39,Staffing August,B36,internal
2012 YTD Summary,J39,Staffing September,B36,internal
2012 YTD Summary,K39,Staffing October,B36,internal
2012 YTD Summary,L39,Staffing November,B36,internal
2012 YTD Summary,M39,Staffing December,B36,internal
2012 YTD Summary,B40,Staffing January,B36,internal
2012 YTD Summary,C40,Staffing February,B36,internal
2012 YTD Summary,D40,Staffing March,B36,internal
2012 YTD Summary,E40,Staffing April,B36,internal
2012 YTD Summary,F40,Staffing May,B35,internal
2012 YTD Summary,G40,Staffing June,B35,internal
2012 YTD Summary,H40,Staffing July,B35,internal
2012 YTD Summary,I40,Staffing August,B35,internal
2012 YTD Summary,J40,Staffing September,B37,internal
2012 YTD Summary,K40,Staffing October,B37,internal
2012 YTD Summary,L40,Staffing November,B37,internal
2012 YTD Summary,M40,Staffing December,B37,internal
2012 YTD Summary,B41,Staffing January,B37,internal
2012 YTD Summary,C41,Staffing February,B37,internal
2012 YTD Summary,D41,Staffing March,B37,internal
2012 YTD Summary,E41,Staffing April,B37,internal
2012 YTD Summary,F41,Staffing May,B36,internal
2012 YTD Summary,G41,Staffing June,B36,internal
2012 YTD Summary,H41,Staffing July,B36,internal
2012 YTD Summary,I41,Staffing August,B36,internal
2012 YTD Summary,J41,Staffing September,B38,internal
2012 YTD Summary,K41,Staffing October,B38,internal
2012 YTD Summary,L41,Staffing November,B38,internal
2012 YTD Summary,M41,Staffing December,B38,internal
2012 YTD Summary,B45,Staffing January,X13,internal
2012 YTD Summary,C45,Staffing February,X13,internal
2012 YTD Summary,D45,Staffing March,X13,internal
2012 YTD Summary,E45,Staffing April,X13,internal
2012 YTD Summary,F45,Staffing May,X13,internal
2012 YTD Summary,G45,Staffing June,X13,internal
2012 YTD Summary,H45,Staffing July,X13,internal
2012 YTD Summary,I45,Staffing August,X13,internal
2012 YTD Summary,J45,Staffing September,X13,internal
2012 YTD Summary,K45,Staffing October,X13,internal
2012 YTD Summary,L45,Staffing November,X13,internal
2012 YTD Summary,M45,Staffing December,X13,internal
2012 YTD Summary,B46,Staffing January,Z13,internal
2012 YTD Summary,C46,Staffing February,Z13,internal
2012 YTD Summary,D46,Staffing March,Z13,internal
2012 YTD Summary,E46,Staffing April,Z13,internal
2012 YTD Summary,F46,Staffing May,Z13,internal
2012 YTD Summary,G46,Staffing June,Z13,internal
2012 YTD Summary,H46,Staffing July,Z13,internal
2012 YTD Summary,I46,Staffing August,Z13,internal
2012 YTD Summary,J46,Staffing September,Z13,internal
2012 YTD Summary,K46,Staffing October,Z13,internal
2012 YTD Summary,L46,Staffing November,Z13,internal
2012 YTD Summary,M46,Staffing December,Z13,internal
2012 YTD Summary,B47,Staffing January,AD13,internal
2012 YTD Summary,C47,Staffing February,AD13,internal
2012 YTD Summary,D47,Staffing March,AD13,internal
2012 YTD Summary,E47,Staffing April,AD13,internal
2012 YTD Summary,F47,Staffing May,AD13,internal
2012 YTD Summary,G47,Staffing June,AD13,internal
2012 YTD Summary,H47,Staffing July,AD13,internal
2012 YTD Summary,I47,Staffing August,AD13,internal
2012 YTD Summary,J47,Staffing September,AD13,internal
2012 YTD Summary,K47,Staffing October,AD13,internal
2012 YTD Summary,L47,Staffing November,AD13,internal
2012 YTD Summary,M47,Staffing December,AD13,internal
2012 YTD Summary,B48,Staffing January,AB13,internal
2012 YTD Summary,C48,Staffing February,AB13,internal
2012 YTD Summary,D48,Staffing March,AB13,internal
2012 YTD Summary,E48,Staffing April,AB13,internal
2012 YTD Summary,F48,Staffing May,AB13,internal
2012 YTD Summary,G48,Staffing June,AB13,internal
2012 YTD Summary,H48,Staffing July,AB13,internal
2012 YTD Summary,I48,Staffing August,AB13,internal
2012 YTD Summary,J48,Staffing September,AB13,internal
2012 YTD Summary,K48,Staffing October,AB13,internal
2012 YTD Summary,L48,Staffing November,AB13,internal
2012 YTD Summary,M48,Staffing December,AB13,internal
2012 YTD Summary,B52,Admissions,D37,internal
2012 YTD Summary,C52,Admissions,K37,internal
2012 YTD Summary,D52,Admissions,D72,internal
2012 YTD Summary,E52,Admissions,K72,internal
